name,tweet_volume,trend_time
#SpotifyWrapped,1789610.0,2022-12-01T02:18:53Z
Desember,117966.0,2022-12-01T02:18:53Z
#VaksinasiBooster,,2022-12-01T02:18:53Z
#Transmigrasi,,2022-12-01T02:18:53Z
gabung safurter kuncicoin,,2022-12-01T02:18:53Z
serunya bola dunia,,2022-12-01T02:18:53Z
menangin hadiah jutaan,,2022-12-01T02:18:53Z
#jhopexMAMA,474605.0,2022-12-01T02:18:53Z
hobi,594348.0,2022-12-01T02:18:53Z
Warna Musik Sunda,,2022-12-01T02:18:53Z
#MojangMusik,,2022-12-01T02:18:53Z
seungkwan,34120.0,2022-12-01T02:18:53Z
AIDS,63501.0,2022-12-01T02:18:53Z
Perjuangkan Persatuan Umat,,2022-12-01T02:18:53Z
Tunisia,158373.0,2022-12-01T02:18:53Z
HAECHAN LEE THANK YOU,,2022-12-01T02:18:53Z
Ketahanan Pangan Indonesia,,2022-12-01T02:18:53Z
Jembut,11298.0,2022-12-01T02:18:53Z
Argentina,1241560.0,2022-12-01T02:18:53Z
MAMA PLATINUM,557239.0,2022-12-01T02:18:53Z
hyuna,195948.0,2022-12-01T02:18:53Z
Album of the Year,466677.0,2022-12-01T02:18:53Z
LDII,,2022-12-01T02:18:53Z
NO YG NO PARTY,,2022-12-01T02:18:53Z
permatabank,,2022-12-01T02:18:53Z
HAPPY IVERSARY,10126.0,2022-12-01T02:18:53Z
JUNG HOSEOK,319912.0,2022-12-01T02:18:53Z
Arab Saudi,,2022-12-01T02:18:53Z
Arawinda,21787.0,2022-12-01T02:18:53Z
Gulf Mewning,,2022-12-01T02:18:53Z
Baifern,21809.0,2022-12-01T02:18:53Z
Rosie posie,,2022-12-01T02:18:53Z
Kela,,2022-12-01T02:18:53Z
Sarapan,,2022-12-01T02:18:53Z
Messi,1002396.0,2022-12-01T02:18:53Z
70 daesang,51241.0,2022-12-01T02:18:53Z
Destinasi Wisata Terbaik,,2022-12-01T02:18:53Z
Gratis Ongkir,,2022-12-01T02:18:53Z
Bangtan,156076.0,2022-12-01T02:18:53Z
Lintang,,2022-12-01T02:18:53Z
amn dorong wirausaha,,2022-12-01T02:18:53Z
Hiragana,,2022-12-01T02:18:53Z
Australia,325343.0,2022-12-01T02:18:53Z
Poland,278252.0,2022-12-01T02:18:53Z
Katolik,,2022-12-01T02:18:53Z
Dawn,233960.0,2022-12-01T02:18:53Z
XH ROTY ON MAMA,,2022-12-01T02:18:53Z
BIRTH OF A QUEEN,38405.0,2022-12-01T02:18:53Z
Amanda,43223.0,2022-12-01T02:18:53Z
Batistuta,,2022-12-01T02:18:53Z
